,0
0,1.3864895783145008
1,0.8828053960390789
2,0.8874976322954934
3,0.8347961565464969
4,0.8331280361023788
5,0.566795574924148
6,0.5725349635786453
7,0.38753157928649784
8,0.4981407817063408
9,0.13818466186276362
10,0.41544353408674173
11,0.44507387981611995
12,0.5224400807693907
13,0.366327446881118
14,0.13429038240180877
15,0.21063243038387264
16,0.0
17,0.0
18,0.21972245773362192
19,0.2298119393941241
20,0.33794629398007126
21,0.13690950441756
22,0.33122846909055925
23,0.3365233733920385
24,0.0
25,0.0
26,0.21972245773362192
27,0.2298119393941241
28,0.1774422005520251
29,0.23691303012549486
30,0.331104979000974
31,0.3538120353471281
32,0.3907303135264602
33,0.40696091685336533
34,0.1268952431429496
35,0.19935970597233307
36,0.3276239627200588
37,0.19454224502889408
38,0.13498827574484382
39,0.18933463657812047
40,0.0
41,0.0
42,0.21972245773362192
43,0.2298119393941241
44,0.2867926419317861
45,0.29909395289615914
46,0.3992047776565404
47,0.4086155647048665
48,0.3409839085716678
49,0.27416774806334676
50,0.39940808561045055
51,0.40812697104419493
52,0.3043941869508456
53,0.3383588268660518
54,0.3909237752013994
55,0.3006616295667095
56,0.21768935443989634
57,0.0
58,0.21972245773362192
59,0.18005121025370738
60,0.30297653527209584
61,0.31692456007264624
62,0.17768981114581597
63,0.24177997464328077
64,0.36060510573871796
65,0.37224415641669456
66,0.36802152686600076
67,0.19469191315163634
68,0.32269180637727735
69,0.3373577071013828
70,0.42711358508725594
71,0.21052687681220844
72,0.3355225952060731
73,0.138372368236496
74,0.13889051749807066
75,0.11883682924406551
76,0.1959778728425352
77,0.24035744997112599
78,0.37933210959367997
79,0.28641185302318084
80,0.18097258332867674
81,0.1427118321611913
82,0.13862943611198905
83,0.17351264569629227
84,0.13789383995503207
85,0.18107190487432473
86,0.31797779402627424
87,0.32916016700115114
88,0.35789559296125034
89,0.23572041842985855
90,0.35374078505442075
91,0.30702330535544153
92,0.189230048636965
93,0.26985816609092395
94,0.3724437505367568
95,0.3879581546256951
96,0.3582547774635655
97,0.17651012398664195
98,0.2713513741605266
99,0.31821659843710276
100,0.41255682288715373
